Check,ID,Name,Type,Rarity,Drop Category,Character Category
[ ],533,Brook - Cherry Blossom Hair,QCK,4,Limited RR,Rare Recruit
[ ],534,Brook - Cherry Blossom Melody,QCK,5,Limited RR,Rare Recruit
[ ],535,Nami - Blossom Cloud,DEX,4,Limited RR,Rare Recruit
[ ],536,Nami - Blossom Climate,DEX,5,Limited RR,Rare Recruit
[ ],547,Monkey D. Luffy - Mt. Corvo's Brothers 3,STR,4,Limited RR,Rare Recruit
[ ],548,"Monkey D. Luffy - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",STR,5,Limited RR,Rare Recruit
[ ],561,Portgas D. Ace - Black Clad Flame Fist,DEX,5,Normal,Legend
[ ],562,Portgas D. Ace - Black Clad Division Commander,DEX,6,Normal,Legend
[ ],576,Nami - Tea Time,INT,4,Rayleigh Shop,Rare Recruit
[ ],579,Roronoa Zoro - Voyage Log: Straw Hat Pirates,QCK,4,Limited RR,Rare Recruit
[ ],580,Roronoa Zoro - Voyage Dream: Master Swordsman,QCK,5,Limited RR,Rare Recruit
[ ],585,Nojiko,PSY,3,Normal,Rare Recruit
[ ],586,Nojiko - Nami's Sister,PSY,4,Normal,Rare Recruit
[ ],587,Crocus,INT,3,Normal,Rare Recruit
[ ],588,Crocus - Twin Cape Lighthouse Keeper,INT,4,Normal,Rare Recruit
[ ],589,Koza,QCK,3,Normal,Rare Recruit
[ ],590,Koza - Rebel Leader,QCK,4,Normal,Rare Recruit
[ ],596,Tony Tony Chopper - Voyage Log: Straw Hat Pirates,STR,4,Limited RR,Rare Recruit
[ ],597,Tony Tony Chopper - Voyage Dream: Great Doctor,STR,5,Limited RR,Rare Recruit
[ ],604,Sanji  - Voyage Log: Straw Hat Pirates,DEX,4,Limited RR,Rare Recruit
[ ],605,Sanji  - Voyage Dream: All Blue,DEX,5,Limited RR,Rare Recruit
[ ],612,Brook - Voyage Log: Straw Hat Pirates,DEX,4,Limited RR,Rare Recruit
[ ],613,Brook - Voyage Dream: Promised Meeting,DEX,5,Limited RR,Rare Recruit
[ ],638,Doma,QCK,4,Normal,Rare Recruit
[ ],639,Bohemian Knight Doma,QCK,5,Normal,Rare Recruit
[ ],640,DeCalvan Brothers,DEX,4,Normal,Rare Recruit
[ ],641,DeCalvan Brothers - Brothers' Bond,DEX,5,Normal,Rare Recruit
[ ],642,Squard,PSY,4,Normal,Rare Recruit
[ ],643,Maelstrom Spider Squard,PSY,5,Normal,Rare Recruit
[ ],644,Whitey Bay,INT,4,Normal,Rare Recruit
[ ],645,Ice Witch Whitey Bay,INT,5,Normal,Rare Recruit
[ ],646,Little Oars Jr.,STR,4,Normal,Rare Recruit
[ ],647,Little Oars Jr. - Charging!,STR,5,Normal,Rare Recruit
[ ],648,Marco - Whitebeard 1st Div. Commander,QCK,5,Normal,Legend
[ ],649,Marco the Phoenix - Whitebeard 1st Div. Commander,QCK,6,Normal,Legend
[ ],650,Nami - Voyage Log: Straw Hat Pirates,INT,4,Limited RR,Rare Recruit
[ ],651,Nami - Voyage Dream: World Map,INT,5,Limited RR,Rare Recruit
[ ],660,Usopp - Voyage Log: Straw Hat Pirates,QCK,4,Limited RR,Rare Recruit
[ ],661,Usopp - Voyage Dream: Brave Sea Warrior,QCK,5,Limited RR,Rare Recruit
[ ],662,Nami - On Vacation,PSY,4,Rayleigh Shop,Rare Recruit
[ ],668,Sabo,PSY,5,Normal,Legend
[ ],669,Sabo - Revolutionary Army,PSY,6,Normal,Legend
[ ],670,Koala,DEX,4,Normal,Rare Recruit
[ ],671,Koala - Revolutionary Army,DEX,5,Normal,Rare Recruit
[ ],672,Hack,STR,4,Normal,Rare Recruit
[ ],673,Hack - Revolutionary Army,STR,5,Normal,Rare Recruit
[ ],674,Emporio Ivankov - New Kama Karate Master,INT,4,Normal,Rare Recruit
[ ],675,Emporio Ivankov - Revolutionary Army,INT,5,Normal,Rare Recruit
[ ],676,Inazuma,QCK,4,Normal,Rare Recruit
[ ],677,Inazuma - Revolutionary Army,QCK,5,Normal,Rare Recruit
[ ],678,Nico Robin - Voyage Log: Straw Hat Pirates,PSY,4,Limited RR,Rare Recruit
[ ],679,Nico Robin - Voyage Dream: 100-Year Void,PSY,5,Limited RR,Rare Recruit
[ ],683,Ice Cream-Loving Robin - Chocolate Ice Cream,PSY,5,Rayleigh Shop,Rare Recruit
[ ],686,Vivi on Break,QCK,4,Rayleigh Shop,Rare Recruit
[ ],710,Franky - Voyage Log: Straw Hat Pirates,PSY,4,Limited RR,Rare Recruit
[ ],711,Franky - Voyage Dream: Ship of the Seven Seas,PSY,5,Limited RR,Rare Recruit
[ ],717,Dracule Mihawk - Warlord of the Sea,INT,5,Normal,Legend
[ ],718,Hawk Eyes Mihawk - World's Strongest Swordsman,INT,6,Normal,Legend
[ ],719,Sir Crocodile: Logia - Warlord of the Sea,DEX,5,Normal,Legend
[ ],720,Sir Crocodile: Logia - Ex-Warlord of the Sea,DEX,6,Normal,Legend
[ ],725,Nefeltari Vivi - Voyage Log: Princess of Alabasta,QCK,4,Limited RR,Rare Recruit
[ ],726,Nefeltari Vivi - Voyage Dream: Queen of the Pirates,QCK,5,Limited RR,Rare Recruit
[ ],727,Monkey D. Luffy - Gum-Gum Gatling,DEX,4,Rayleigh Shop,Rare Recruit
[ ],746,Megalo & Shirahoshi,QCK,4,Rayleigh Shop,Rare Recruit
[ ],747,Rob Lucci - CP9 Dark Justice,STR,5,Normal,Legend
[ ],748,Rob Lucci - CP9's Strongest,STR,6,Normal,Legend
[ ],749,Kaku - CP9 Dark Justice,DEX,4,Normal,Rare Recruit
[ ],750,Kaku - CP9's Strongest,DEX,5,Normal,Rare Recruit
[ ],751,Kalifa - CP9 Dark Justice,QCK,4,Normal,Rare Recruit
[ ],752,Kalifa - CP9's Strongest,QCK,5,Normal,Rare Recruit
[ ],753,Jabra - CP9 Dark Justice,QCK,4,Normal,Rare Recruit
[ ],754,Jabra - CP9's Strongest,QCK,5,Normal,Rare Recruit
[ ],755,Blueno - CP9 Dark Justice,INT,4,Normal,Rare Recruit
[ ],756,Blueno - CP9's Strongest,INT,5,Normal,Rare Recruit
[ ],757,Fukuro - CP9 Dark Justice,PSY,4,Normal,Rare Recruit
[ ],758,Fukuro - CP9's Strongest,PSY,5,Normal,Rare Recruit
[ ],759,Kumadori - CP9 Dark Justice,STR,4,Normal,Rare Recruit
[ ],760,Kumadori - CP9's Strongest,STR,5,Normal,Rare Recruit
[ ],782,Tashigi - Flower of Justice,INT,4,Limited RR,Rare Recruit
[ ],783,Tashigi - Navy HQ Officer: Flower of Justice,INT,5,Limited RR,Rare Recruit
[ ],784,Mr. Genzo,STR,3,Normal,Rare Recruit
[ ],785,Genzo - Coco Village Sheriff,STR,4,Normal,Rare Recruit
[ ],786,Dr. Hiriluk,PSY,3,Normal,Rare Recruit
[ ],787,Dr. Hiriluk - Quack Doctor,PSY,4,Normal,Rare Recruit
[ ],788,Kuina,DEX,3,Normal,Rare Recruit
[ ],789,Kuina - Shimotsuki Village Swordfighter,DEX,4,Normal,Rare Recruit
[ ],790,"Onion, Pepper & Carrot",QCK,3,Normal,Rare Recruit
[ ],791,"Onion, Pepper & Carrot - Usopp Pirates",QCK,4,Normal,Rare Recruit
[ ],792,Iceburg,INT,3,Normal,Rare Recruit
[ ],793,Iceburg - Water 7 Mayor/Galley-La President,INT,4,Normal,Rare Recruit
[ ],828,Trafalgar Law - Boy from Flevance,PSY,4,Limited RR,Rare Recruit
[ ],829,Trafalgar Law - Boy Driven by Destiny,PSY,5,Limited RR,Rare Recruit
[ ],837,Caesar Clown,DEX,4,Normal,Rare Recruit
[ ],838,Master Caesar,DEX,5,Normal,Rare Recruit
[ ],839,Vergo,INT,4,Normal,Rare Recruit
[ ],840,Vergo - Donquixote Pirates,INT,5,Normal,Rare Recruit
[ ],841,Monet,PSY,4,Normal,Rare Recruit
[ ],842,Monet - Donquixote Pirates,PSY,5,Normal,Rare Recruit
[ ],843,Baby 5,STR,4,Normal,Rare Recruit
[ ],844,Baby 5 - Donquixote Pirates,STR,5,Normal,Rare Recruit
[ ],845,Buffalo,QCK,4,Normal,Rare Recruit
[ ],846,Buffalo - Donquixote Pirates,QCK,5,Normal,Rare Recruit
[ ],855,Trafalgar Law - Holy Night Gentleman,DEX,4,Limited RR,Rare Recruit
[ ],856,Trafalgar Law - Holy Night Nobleman,DEX,5,Limited RR,Rare Recruit
[ ],857,Jewelry Bonney - Ravenous Spoiled Santa,PSY,4,Limited RR,Rare Recruit
[ ],858,Jewelry Bonney - Ravenous Greedy Santa,PSY,5,Limited RR,Rare Recruit
[ ],863,Snowscape Nami,QCK,4,Rayleigh Shop,Rare Recruit
[ ],869,Donquixote Doflamingo - Donquixote Pirates,QCK,5,Normal,Legend
[ ],870,Heavenly Demon Doflamingo,QCK,6,Normal,Legend
[ ],871,Sugar,QCK,4,Normal,Rare Recruit
[ ],872,Sugar - Donquixote Pirates,QCK,5,Normal,Rare Recruit
[ ],873,Senor Pink,PSY,4,Normal,Rare Recruit
[ ],874,Senor Pink - Donquixote Pirates,PSY,5,Normal,Rare Recruit
[ ],875,Trebol,INT,4,Normal,Rare Recruit
[ ],876,Trebol - Donquixote Pirates,INT,5,Normal,Rare Recruit
[ ],877,Giolla,DEX,4,Normal,Rare Recruit
[ ],878,Giolla - Donquixote Pirates,DEX,5,Normal,Rare Recruit
[ ],879,Lao G.,STR,4,Normal,Rare Recruit
[ ],880,Lao G. - Donquixote Pirates,STR,5,Normal,Rare Recruit
[ ],905,Roronoa Zoro - Gloom Island Swordsman,STR,4,Normal,Rare Recruit
[ ],906,Roronoa Zoro - Master Swordsman Disciple,STR,5,Normal,Rare Recruit
[ ],907,Nico Robin - Tequila Wolf Prisoner,INT,4,Normal,Rare Recruit
[ ],908,Nico Robin - Flame of the Revolution,INT,5,Normal,Rare Recruit
[ ],909,Tony Tony Chopper - Birdie Kingdom Peace Broker,PSY,4,Normal,Rare Recruit
[ ],910,Chopper Mask - Defender of Peace,PSY,5,Normal,Rare Recruit
[ ],911,Sanji - Kamabakka Queendom Escapee,DEX,4,Normal,Rare Recruit
[ ],912,Sanji - Chef of Love,DEX,5,Normal,Rare Recruit
[ ],913,Brook - Demon King of Hungeria,QCK,4,Normal,Rare Recruit
[ ],914,Brook - Bone to Be Wild,QCK,5,Normal,Rare Recruit
[ ],915,Nico Robin - Bride of Ohara,QCK,4,Limited RR,Rare Recruit
[ ],916,Robin: Beauty and Genius - Wedding,QCK,5,Limited RR,Rare Recruit
[ ],921,Boa Hancock - Bride of Maiden Island,INT,4,Limited RR,Rare Recruit
[ ],922,Hancock: Empress of Love - Wedding,INT,5,Limited RR,Rare Recruit
[ ],934,Knight of the Sea Jinbe,INT,5,Normal,Legend
[ ],935,Knight of the Sea Jinbe - Ex-Royal Seven Warlords of the Sea,INT,6,Normal,Legend
[ ],936,Monkey D. Luffy - Summit War Survivor,QCK,4,Normal,Rare Recruit
[ ],937,Monkey D. Luffy - Crew's Promise: <icon=common_font_3D2Y.png>,QCK,5,Normal,Rare Recruit
[ ],938,Nami - Weather Researcher,PSY,4,Normal,Rare Recruit
[ ],939,Nami - Weatheria Cat Burglar,PSY,5,Normal,Rare Recruit
[ ],940,Usopp - Bowin Islands Food Addict,DEX,4,Normal,Rare Recruit
[ ],941,Usopp - Hero Fighter of the Forest,DEX,5,Normal,Rare Recruit
[ ],942,Franky - Mech-Animal Fighting Cyborg,STR,4,Normal,Rare Recruit
[ ],943,Cyborg Franky - Baldimore's Sacred Beast,STR,5,Normal,Rare Recruit
[ ],944,Perona - Spiteful Bride of the Castle,PSY,4,Limited RR,Rare Recruit
[ ],945,Fancy Princess Perona - Wedding,PSY,5,Limited RR,Rare Recruit
[ ],975,Smoker - Wild Lone Wolf,DEX,4,Limited RR,Rare Recruit
[ ],976,Smoker - Isolated Lone Wolf,DEX,5,Limited RR,Rare Recruit
[ ],990,Machvise,INT,4,Normal,Rare Recruit
[ ],991,Machvise - Donquixote Pirates,INT,5,Normal,Rare Recruit
[ ],992,Gladius,QCK,4,Normal,Rare Recruit
[ ],993,Gladius - Donquixote Pirates,QCK,5,Normal,Rare Recruit
[ ],994,Violet,PSY,4,Normal,Rare Recruit
[ ],995,Violet - Donquixote Pirates,PSY,5,Normal,Rare Recruit
[ ],996,Dellinger,DEX,4,Normal,Rare Recruit
[ ],997,Dellinger - Donquixote Pirates,DEX,5,Normal,Rare Recruit
[ ],998,Diamante,STR,4,Normal,Rare Recruit
[ ],999,Diamante - Donquixote Pirates,STR,5,Normal,Rare Recruit
[ ],1000,Corazon - Donquixote Pirates,DEX,5,Normal,Legend
[ ],1001,Donquixote Rocinante,DEX,6,Normal,Legend
[ ],1007,Monet - Cold Blossom,QCK,4,Limited RR,Rare Recruit
[ ],1008,Monet - Frigid Blossom,QCK,5,Limited RR,Rare Recruit
[ ],1020,Sugar - Cherry Fruit,INT,4,Limited RR,Rare Recruit
[ ],1021,Sugar - Cherry Peach,INT,5,Limited RR,Rare Recruit
[ ],1022,Monkey D. Luffy - Road to the Pirate King,PSY,4,Rayleigh Shop,Rare Recruit
[ ],1024,Don Chin Jao,INT,4,Normal,Rare Recruit
[ ],1025,Don Chin Jao - Kano Kingdom Gang,INT,5,Normal,Rare Recruit
[ ],1026,Blue Gilly,QCK,4,Normal,Rare Recruit
[ ],1027,Blue Gilly - Jiaokungdo Fighter,QCK,5,Normal,Rare Recruit
[ ],1028,Bobby and Kelly Funk,DEX,4,Normal,Rare Recruit
[ ],1029,Funk Brothers - Mogaro Kingdom Assassin,DEX,5,Normal,Rare Recruit
[ ],1030,Hajrudin,PSY,4,Normal,Rare Recruit
[ ],1031,Hajrudin - Pirate Mercenary,PSY,5,Normal,Rare Recruit
[ ],1032,Abdullah and Jeet,STR,4,Normal,Rare Recruit
[ ],1033,Abdullah and Jeet - Ex-Bounty Hunter,STR,5,Normal,Rare Recruit
[ ],1034,Bartolomeo,STR,5,Normal,Legend
[ ],1035,Man-Eating Bartolomeo,STR,6,Normal,Legend
[ ],1044,Trafalgar Law - Worst Generation,PSY,5,Normal,Legend
[ ],1045,Trafalgar Law - Warlord of the Sea,PSY,6,Normal,Legend
[ ],1053,Hina - Graceful Honor Student,QCK,4,Limited RR,Rare Recruit
[ ],1054,Hina - Polite Honor Student,QCK,5,Limited RR,Rare Recruit
[ ],1074,Ricky,INT,4,Normal,Rare Recruit
[ ],1075,Ricky - Mystery Swordsman,INT,5,Normal,Rare Recruit
[ ],1076,Leo,QCK,4,Normal,Rare Recruit
[ ],1077,Leo - Tontatta Corps Leader,QCK,5,Normal,Rare Recruit
[ ],1078,Mansherry,PSY,4,Normal,Rare Recruit
[ ],1079,Mansherry - Tontatta Princess,PSY,5,Normal,Rare Recruit
[ ],1080,Kyros,DEX,4,Normal,Rare Recruit
[ ],1081,Kyros - Ex-Riku Royal Army Commander,DEX,5,Normal,Rare Recruit
[ ],1082,Don Sai,STR,4,Normal,Rare Recruit
[ ],1083,Don Sai - Kano Kingdom Gang,STR,5,Normal,Rare Recruit
[ ],1084,Fujitora,INT,5,Normal,Legend
[ ],1085,Issho,INT,6,Normal,Legend
[ ],1092,Rebecca - Parasol Rhythm,PSY,4,Limited RR,Rare Recruit
[ ],1093,Rebecca - Rainbow Melody,PSY,5,Limited RR,Rare Recruit
[ ],1099,Coby - Petty Officer in the Rain,DEX,4,Limited RR,Rare Recruit
[ ],1100,Coby - Petty Officer in the Fog,DEX,5,Limited RR,Rare Recruit
[ ],1114,Monkey D. Luffy - Dream Chaser,STR,4,Normal,Rare Recruit
[ ],1115,Monkey D. Luffy - A Pirate Who Lives by His Code,STR,5,Normal,Rare Recruit
[ ],1116,Sanji - Dream Chaser,INT,4,Normal,Rare Recruit
[ ],1117,Sanji - A Pirate Who Lives by His Code,INT,5,Normal,Rare Recruit
[ ],1118,Nami - Dream Chaser,QCK,4,Normal,Rare Recruit
[ ],1119,Nami - A Pirate Who Lives by Her Code,QCK,5,Normal,Rare Recruit
[ ],1120,Monkey D. Luffy - In the Wake of an Endless Dream - Straw Hat Pirates,STR,5,Normal,Legend
[ ],1121,Monkey D. Luffy - A Vow in the Great Age of Pirates - Pirate King,STR,6,Normal,Legend
[ ],1122,Cavendish,QCK,5,Normal,Legend
[ ],1123,White Knight Cavendish,QCK,6,Normal,Legend
[ ],1124,Suleiman,PSY,4,Normal,Rare Recruit
[ ],1125,Suleiman the Beheader,PSY,5,Normal,Rare Recruit
[ ],1126,Orlumbus,DEX,4,Normal,Rare Recruit
[ ],1127,Orlumbus - Massacre Ruler,DEX,5,Normal,Rare Recruit
[ ],1128,Dagama,INT,4,Normal,Rare Recruit
[ ],1129,Dagama - Prodence Kingdom Tactician,INT,5,Normal,Rare Recruit
[ ],1130,Elizabello II,STR,4,Normal,Rare Recruit
[ ],1131,Elizabello II - King of Prodence,STR,5,Normal,Rare Recruit
[ ],1132,Ideo,QCK,4,Normal,Rare Recruit
[ ],1133,Ideo - Destruction Cannon,QCK,5,Normal,Rare Recruit
[ ],1134,Tashigi - Kendo Daredevil,INT,4,Limited RR,Rare Recruit
[ ],1135,Tashigi - Dreaming Kendo Girl,INT,5,Limited RR,Rare Recruit
[ ],1160,Koala - Beach Angel,QCK,4,Limited RR,Rare Recruit
[ ],1161,Koala - Paradise Goddess,QCK,5,Limited RR,Rare Recruit
[ ],1172,Brook - Dream Chaser,PSY,4,Normal,Rare Recruit
[ ],1173,Brook - A Pirate Who Lives by His Code,PSY,5,Normal,Rare Recruit
[ ],1174,Roronoa Zoro - Dream Chaser,DEX,4,Normal,Rare Recruit
[ ],1175,Roronoa Zoro - A Pirate Who Lives by His Code,DEX,5,Normal,Rare Recruit
[ ],1176,Chopper - Dream Chaser,DEX,4,Normal,Rare Recruit
[ ],1177,Chopper - A Pirate Who Lives by His Code,DEX,5,Normal,Rare Recruit
[ ],1178,Oars,STR,4,Rayleigh Shop,Rare Recruit
[ ],1179,Devil Oars,STR,5,Rayleigh Shop,Rare Recruit
[ ],1181,Blenheim,DEX,4,Normal,Rare Recruit
[ ],1182,Blenheim of the Cutlass,DEX,5,Normal,Rare Recruit
[ ],1183,Kingdew,PSY,4,Normal,Rare Recruit
[ ],1184,Twin-Gauntlet Kingdew,PSY,5,Normal,Rare Recruit
[ ],1185,Haruta,INT,4,Normal,Rare Recruit
[ ],1186,Swift-Saber Haruta,INT,5,Normal,Rare Recruit
[ ],1187,Atmos,STR,4,Normal,Rare Recruit
[ ],1188,Water Buffalo Atmos,STR,5,Normal,Rare Recruit
[ ],1189,Speed Jil,QCK,4,Normal,Rare Recruit
[ ],1190,Shield-Lance Speed Jil,QCK,5,Normal,Rare Recruit
[ ],1191,Aokiji - Navy HQ Powerhouse,QCK,5,Normal,Legend
[ ],1192,Kuzan,QCK,6,Normal,Legend
[ ],1193,Boa Hancock - Beachside Empress,DEX,4,Limited RR,Rare Recruit
[ ],1194,Boa Hancock - Love-Smitten Empress,DEX,5,Limited RR,Rare Recruit
[ ],1207,Nico Robin - Dream Chaser,INT,4,Normal,Rare Recruit
[ ],1208,Nico Robin - A Pirate Who Lives by Her Code,INT,5,Normal,Rare Recruit
[ ],1209,Usopp - Dream Chaser,QCK,4,Normal,Rare Recruit
[ ],1210,Usopp - A Pirate Who Lives by His Code,QCK,5,Normal,Rare Recruit
[ ],1211,Franky - Dream Chaser,STR,4,Normal,Rare Recruit
[ ],1212,Franky - A Pirate Who Lives by His Code,STR,5,Normal,Rare Recruit
[ ],1213,Baby 5 - Inflatable Dolphin,STR,4,Limited RR,Rare Recruit
[ ],1214,Baby 5 - Dolphin Rider,STR,5,Limited RR,Rare Recruit
[ ],1229,Sentomaru - Naval HQ Fleet Officer,INT,4,Normal,Rare Recruit
[ ],1230,Sentomaru the Axe - Naval HQ Fleet Officer,INT,5,Normal,Rare Recruit
[ ],1231,Smoker - Navy Grand Line 5th Branch,DEX,4,Normal,Rare Recruit
[ ],1232,Smoker - G-5 Vice Admiral,DEX,5,Normal,Rare Recruit
[ ],1233,Tashigi - Navy Grand Line 5th Branch,QCK,4,Normal,Rare Recruit
[ ],1234,Tashigi - G-5 Captain,QCK,5,Normal,Rare Recruit
[ ],1235,Maynard - Naval HQ Vice Admiral,PSY,4,Normal,Rare Recruit
[ ],1236,Maynard the Pursuer - Naval HQ Vice Admiral,PSY,5,Normal,Rare Recruit
[ ],1237,Bastille - Naval HQ Vice Admiral,STR,4,Normal,Rare Recruit
[ ],1238,Shark-Slicer Bastille - Naval HQ Vice Admiral,STR,5,Normal,Rare Recruit
[ ],1239,Kizaru - Navy HQ Powerhouse,PSY,5,Normal,Legend
[ ],1240,Borsalino,PSY,6,Normal,Legend
[ ],1248,Marco - Collar in the Autumn Wind,DEX,4,Limited RR,Rare Recruit
[ ],1249,Marco - Buzzed and Rumpled,DEX,5,Limited RR,Rare Recruit
[ ],1259,Donquixote Doflamingo - North Blue Pirate,STR,4,Limited RR,Rare Recruit
[ ],1260,Donquixote Doflamingo - North Blue Darkness,STR,5,Limited RR,Rare Recruit
