ID,Name,Type,Rarity,Drop Category,Character Category,LB,LB+,Ability,PvP+,Ink
748,Rob Lucci - CP9's Strongest,STR,6,Normal,Legend,,,,,
750,Kaku - CP9's Strongest,DEX,5,Normal,Rare Recruit,,,,,
752,Kalifa - CP9's Strongest,QCK,5,Normal,Rare Recruit,,,,,
754,Jabra - CP9's Strongest,QCK,5,Normal,Rare Recruit,,,,,
756,Blueno - CP9's Strongest,INT,5,Normal,Rare Recruit,,,,,
758,Fukuro - CP9's Strongest,PSY,5,Normal,Rare Recruit,,,,,
760,Kumadori - CP9's Strongest,STR,5,Normal,Rare Recruit,,,,,
783,Tashigi - Navy HQ Officer: Flower of Justice,INT,5,Limited RR,Rare Recruit,,,,,
785,Genzo - Coco Village Sheriff,STR,4,Normal,Rare Recruit,,,,,
787,Dr. Hiriluk - Quack Doctor,PSY,4,Normal,Rare Recruit,,,,,
789,Kuina - Shimotsuki Village Swordfighter,DEX,4,Normal,Rare Recruit,,,,,
791,"Onion, Pepper & Carrot - Usopp Pirates",QCK,4,Normal,Rare Recruit,,,,,
793,Iceburg - Water 7 Mayor/Galley-La President,INT,4,Normal,Rare Recruit,,,,,
829,Trafalgar Law - Boy Driven by Destiny,PSY,5,Limited RR,Rare Recruit,,,,,
838,Master Caesar,DEX,5,Normal,Rare Recruit,,,,,
840,Vergo - Donquixote Pirates,INT,5,Normal,Rare Recruit,,,,,
842,Monet - Donquixote Pirates,PSY,5,Normal,Rare Recruit,,,,,
844,Baby 5 - Donquixote Pirates,STR,5,Normal,Rare Recruit,,,,,
846,Buffalo - Donquixote Pirates,QCK,5,Normal,Rare Recruit,,,,,
856,Trafalgar Law - Holy Night Nobleman,DEX,5,Limited RR,Rare Recruit,,,,,
858,Jewelry Bonney - Ravenous Greedy Santa,PSY,5,Limited RR,Rare Recruit,,,,,
863,Snowscape Nami,QCK,4,Rayleigh Shop,Rare Recruit,,,,,
870,Heavenly Demon Doflamingo,QCK,6,Normal,Legend,,,,,
872,Sugar - Donquixote Pirates,QCK,5,Normal,Rare Recruit,,,,,
874,Senor Pink - Donquixote Pirates,PSY,5,Normal,Rare Recruit,,,,,
876,Trebol - Donquixote Pirates,INT,5,Normal,Rare Recruit,,,,,
878,Giolla - Donquixote Pirates,DEX,5,Normal,Rare Recruit,,,,,
880,Lao G. - Donquixote Pirates,STR,5,Normal,Rare Recruit,,,,,
906,Roronoa Zoro - Master Swordsman Disciple,STR,5,Normal,Rare Recruit,,,,,
908,Nico Robin - Flame of the Revolution,INT,5,Normal,Rare Recruit,,,,,
910,Chopper Mask - Defender of Peace,PSY,5,Normal,Rare Recruit,,,,,
912,Sanji - Chef of Love,DEX,5,Normal,Rare Recruit,,,,,
914,Brook - Bone to Be Wild,QCK,5,Normal,Rare Recruit,,,,,
916,Robin: Beauty and Genius - Wedding,QCK,5,Limited RR,Rare Recruit,,,,,
922,Hancock: Empress of Love - Wedding,INT,5,Limited RR,Rare Recruit,,,,,
935,Knight of the Sea Jinbe - Ex-Royal Seven Warlords of the Sea,INT,6,Normal,Legend,,,,,
937,Monkey D. Luffy - Crew's Promise: <icon=common_font_3D2Y.png>,QCK,5,Normal,Rare Recruit,,,,,
939,Nami - Weatheria Cat Burglar,PSY,5,Normal,Rare Recruit,,,,,
941,Usopp - Hero Fighter of the Forest,DEX,5,Normal,Rare Recruit,,,,,
943,Cyborg Franky - Baldimore's Sacred Beast,STR,5,Normal,Rare Recruit,,,,,
945,Fancy Princess Perona - Wedding,PSY,5,Limited RR,Rare Recruit,,,,,
976,Smoker - Isolated Lone Wolf,DEX,5,Limited RR,Rare Recruit,,,,,
991,Machvise - Donquixote Pirates,INT,5,Normal,Rare Recruit,,,,,
993,Gladius - Donquixote Pirates,QCK,5,Normal,Rare Recruit,,,,,
995,Violet - Donquixote Pirates,PSY,5,Normal,Rare Recruit,,,,,
997,Dellinger - Donquixote Pirates,DEX,5,Normal,Rare Recruit,,,,,
999,Diamante - Donquixote Pirates,STR,5,Normal,Rare Recruit,,,,,
1001,Donquixote Rocinante,DEX,6,Normal,Legend,,,,,
1008,Monet - Frigid Blossom,QCK,5,Limited RR,Rare Recruit,,,,,
1021,Sugar - Cherry Peach,INT,5,Limited RR,Rare Recruit,,,,,
1022,Monkey D. Luffy - Road to the Pirate King,PSY,4,Rayleigh Shop,Rare Recruit,,,,,
1025,Don Chin Jao - Kano Kingdom Gang,INT,5,Normal,Rare Recruit,,,,,
1027,Blue Gilly - Jiaokungdo Fighter,QCK,5,Normal,Rare Recruit,,,,,
1029,Funk Brothers - Mogaro Kingdom Assassin,DEX,5,Normal,Rare Recruit,,,,,
1031,Hajrudin - Pirate Mercenary,PSY,5,Normal,Rare Recruit,,,,,
1033,Abdullah and Jeet - Ex-Bounty Hunter,STR,5,Normal,Rare Recruit,,,,,
1035,Man-Eating Bartolomeo,STR,6,Normal,Legend,,,,,
1045,Trafalgar Law - Warlord of the Sea,PSY,6,Normal,Legend,,,,,
1054,Hina - Polite Honor Student,QCK,5,Limited RR,Rare Recruit,,,,,
1075,Ricky - Mystery Swordsman,INT,5,Normal,Rare Recruit,,,,,
1077,Leo - Tontatta Corps Leader,QCK,5,Normal,Rare Recruit,,,,,
1079,Mansherry - Tontatta Princess,PSY,5,Normal,Rare Recruit,,,,,
1081,Kyros - Ex-Riku Royal Army Commander,DEX,5,Normal,Rare Recruit,,,,,
1083,Don Sai - Kano Kingdom Gang,STR,5,Normal,Rare Recruit,,,,,
1085,Issho,INT,6,Normal,Legend,,,,,
1093,Rebecca - Rainbow Melody,PSY,5,Limited RR,Rare Recruit,,,,,
1100,Coby - Petty Officer in the Fog,DEX,5,Limited RR,Rare Recruit,,,,,
1115,Monkey D. Luffy - A Pirate Who Lives by His Code,STR,5,Normal,Rare Recruit,,,,,
1117,Sanji - A Pirate Who Lives by His Code,INT,5,Normal,Rare Recruit,,,,,
1119,Nami - A Pirate Who Lives by Her Code,QCK,5,Normal,Rare Recruit,,,,,
1121,Monkey D. Luffy - A Vow in the Great Age of Pirates - Pirate King,STR,6,Normal,Legend,,,,,
1123,White Knight Cavendish,QCK,6,Normal,Legend,,,,,
1125,Suleiman the Beheader,PSY,5,Normal,Rare Recruit,,,,,
1127,Orlumbus - Massacre Ruler,DEX,5,Normal,Rare Recruit,,,,,
1129,Dagama - Prodence Kingdom Tactician,INT,5,Normal,Rare Recruit,,,,,
1131,Elizabello II - King of Prodence,STR,5,Normal,Rare Recruit,,,,,
1133,Ideo - Destruction Cannon,QCK,5,Normal,Rare Recruit,,,,,
1135,Tashigi - Dreaming Kendo Girl,INT,5,Limited RR,Rare Recruit,,,,,
1161,Koala - Paradise Goddess,QCK,5,Limited RR,Rare Recruit,,,,,
1173,Brook - A Pirate Who Lives by His Code,PSY,5,Normal,Rare Recruit,,,,,
1175,Roronoa Zoro - A Pirate Who Lives by His Code,DEX,5,Normal,Rare Recruit,,,,,
1177,Chopper - A Pirate Who Lives by His Code,DEX,5,Normal,Rare Recruit,,,,,
1179,Devil Oars,STR,5,Rayleigh Shop,Rare Recruit,,,,,
1182,Blenheim of the Cutlass,DEX,5,Normal,Rare Recruit,,,,,
1184,Twin-Gauntlet Kingdew,PSY,5,Normal,Rare Recruit,,,,,
1186,Swift-Saber Haruta,INT,5,Normal,Rare Recruit,,,,,
1188,Water Buffalo Atmos,STR,5,Normal,Rare Recruit,,,,,
1190,Shield-Lance Speed Jil,QCK,5,Normal,Rare Recruit,,,,,
1192,Kuzan,QCK,6,Normal,Legend,,,,,
1194,Boa Hancock - Love-Smitten Empress,DEX,5,Limited RR,Rare Recruit,,,,,
1208,Nico Robin - A Pirate Who Lives by Her Code,INT,5,Normal,Rare Recruit,,,,,
1210,Usopp - A Pirate Who Lives by His Code,QCK,5,Normal,Rare Recruit,,,,,
1212,Franky - A Pirate Who Lives by His Code,STR,5,Normal,Rare Recruit,,,,,
1214,Baby 5 - Dolphin Rider,STR,5,Limited RR,Rare Recruit,,,,,
1230,Sentomaru the Axe - Naval HQ Fleet Officer,INT,5,Normal,Rare Recruit,,,,,
1232,Smoker - G-5 Vice Admiral,DEX,5,Normal,Rare Recruit,,,,,
1234,Tashigi - G-5 Captain,QCK,5,Normal,Rare Recruit,,,,,
1236,Maynard the Pursuer - Naval HQ Vice Admiral,PSY,5,Normal,Rare Recruit,,,,,
1238,Shark-Slicer Bastille - Naval HQ Vice Admiral,STR,5,Normal,Rare Recruit,,,,,
1240,Borsalino,PSY,6,Normal,Legend,,,,,
1249,Marco - Buzzed and Rumpled,DEX,5,Limited RR,Rare Recruit,,,,,
1260,Donquixote Doflamingo - North Blue Darkness,STR,5,Limited RR,Rare Recruit,,,,,
1262,Senor Pink  - North Blue Darkness,INT,5,Limited RR,Rare Recruit,,,,,
1264,Vergo - North Blue Darkness,QCK,5,Limited RR,Rare Recruit,,,,,
1266,Ace - Moonlight Gloss,STR,5,Limited RR,Rare Recruit,,,,,
1268,Blackbeard - Blackbeard Pirate Captain,DEX,6,Normal,Legend,,,,,
1270,Demon Sheriff Lafitte,DEX,5,Normal,Rare Recruit,,,,,
1272,Supersonic Van Ogre,QCK,5,Normal,Rare Recruit,,,,,
1274,Champion Jesus Burgess,STR,5,Normal,Rare Recruit,,,,,
1276,Shiryu of the Rain,INT,5,Normal,Rare Recruit,,,,,
1278,Death God Doc Q,PSY,5,Normal,Rare Recruit,,,,,
1285,Monkey D. Luffy - World Explorer,PSY,5,Rayleigh Shop,Rare Recruit,,,,,
1296,Kalifa: Glamorous Mummy - Halloween Night Masquerade,STR,5,Limited RR,Rare Recruit,,,,,
1308,Bartolomeo: Full Moon Wolf - Halloween Night Masquerade,QCK,5,Limited RR,Rare Recruit,,,,,
1314,Sakazuki,STR,6,Normal,Legend,,,,,
1316,Petty Officer Coby - Hero of the Navy's Student,PSY,5,Normal,Rare Recruit,,,,,
1318,Garp the Fist - Navy HQ Vice Admiral,STR,5,Normal,Rare Recruit,,,,,
1320,Great Advisor Tsuru - Navy HQ Vice Admiral,QCK,5,Normal,Rare Recruit,,,,,
1322,Navy HQ Vice Admiral Momonga - Monster-Slaying Master General,DEX,5,Normal,Rare Recruit,,,,,
1324,Navy HQ Vice Admiral Onigumo - Eight-Swords Style Fighter,INT,5,Normal,Rare Recruit,,,,,
1336,Sabo - Phantom of the Theater,INT,5,Limited RR,Rare Recruit,,,,,
1355,Silvers Rayleigh - Dark King Shining in the Limelight,DEX,5,Limited RR,Rare Recruit,,,,,
1360,Luffy's Winter Island Adventure,QCK,4,Rayleigh Shop,Rare Recruit,,,,,
1362,Roronoa Zoro - Straw Hat Pirates: Born Again,DEX,6,Normal,Legend,,,,,
1364,Franky - Straw Hat Pirates: Born Again,PSY,5,Normal,Rare Recruit,,,,,
1366,Nami - Straw Hat Pirates: Born Again,INT,5,Normal,Rare Recruit,,,,,
1368,Sanji - Straw Hat Pirates: Born Again,STR,5,Normal,Rare Recruit,,,,,
1370,Tony Tony Chopper - Straw Hat Pirates: Born Again,QCK,5,Normal,Rare Recruit,,,,,
1372,Roronoa Zoro - World Explorer,QCK,5,Rayleigh Shop,Rare Recruit,,,,,
1382,Tashigi - Holy Night Heroine,PSY,5,Limited RR,Rare Recruit,,,,,
1391,Captain Buggy,INT,6,Normal,Legend,,,,,
1395,Baby 5 - Whimsical Kimono,QCK,5,Limited RR,Rare Recruit,,,,,
1404,Monkey D. Luffy - Straw Hat Pirates: Born Again,QCK,6,Normal,Legend,,,,,
1406,Usopp - Straw Hat Pirates: Born Again,PSY,5,Normal,Rare Recruit,,,,,
1408,Nico Robin - Straw Hat Pirates: Born Again,DEX,5,Normal,Rare Recruit,,,,,
1410,Brook - Straw Hat Pirates: Born Again,INT,5,Normal,Rare Recruit,,,,,
1412,Tony Tony Chopper: Monster Point - Straw Hat Pirates: Born Again,STR,5,Normal,Rare Recruit,,,,,
1413,Whitebeard - Four Emperors,STR,6+,Normal,Legend,,,,,
1420,Rob Lucci - Silken Seam,INT,5,Limited RR,Rare Recruit,,,,,
1430,Mansherry - March Courage,DEX,5,Limited RR,Rare Recruit,,,,,
1434,Hody Jones - Fish-Man District Spirit,INT,6,Normal,Legend,,,,,
1436,Hyouzou - Fish-Man District Spirit,QCK,5,Normal,Rare Recruit,,,,,
1438,Ikaros Much - Fish-Man District Spirit,PSY,5,Normal,Rare Recruit,,,,,
1440,Daruma - Fish-Man District Spirit,DEX,5,Normal,Rare Recruit,,,,,
1442,Zeo - Fish-Man District Spirit,INT,5,Normal,Rare Recruit,,,,,
1444,Dosun - Fish-Man District Spirit,STR,5,Normal,Rare Recruit,,,,,
1445,Boa Hancock - Snake Princess,QCK,6+,Normal,Legend,,,,,
1454,Marguerite - Festive on the 14th,STR,5,Limited RR,Rare Recruit,,,,,
1467,Cavendish - Daydream of White Day,PSY,5,Limited RR,Rare Recruit,,,,,
1473,Princess Shirahoshi - Ryugu Kingdom Royal Princess,PSY,6,Normal,Legend,,,,,
1475,Neptune - King of the Ryugu Kingdom,STR,5,Normal,Rare Recruit,,,,,
1477,Fukaboshi - Prince of the Ryugu Kingdom,PSY,5,Normal,Rare Recruit,,,,,
1479,Wet-Haired Caribou - Captain of the Caribou Pirates,QCK,5,Normal,Rare Recruit,,,,,
1481,Vander Decken IX - Flying Pirates Captain,DEX,5,Normal,Rare Recruit,,,,,
1483,Madam Sharley - Fortune Teller,INT,5,Normal,Rare Recruit,,,,,
1485,Sanji - World Explorer,STR,5,Rayleigh Shop,Rare Recruit,,,,,
1492,Sabo - Flame-Flame Fruit Wielder,PSY,6+,Normal,Legend,,,,,
1514,Sanji - Handmade Memento,DEX,5,Limited RR,Rare Recruit,,,,,
1524,Tony Tony Chopper - Spring View on Winter Island,PSY,5,Limited RR,Rare Recruit,,,,,
1532,God Usopp,DEX,6,Normal,Legend,,,,,
1534,Silvers Rayleigh - Straw Hat Pirates Conspirator,QCK,5,Normal,Rare Recruit,,,,,
1536,Duval - Straw Hat Pirates Conspirator,PSY,5,Normal,Rare Recruit,,,,,
1538,Heracles - Straw Hat Pirates Conspirator,STR,5,Normal,Rare Recruit,,,,,
1540,Perona - Straw Hat Pirates Conspirator,INT,5,Normal,Rare Recruit,,,,,
1542,Elizabeth - Straw Hat Pirates Conspirator,DEX,5,Normal,Rare Recruit,,,,,
1543,"Captain Usopp - The Great Adventure of Usopp the Man, Ch. 2",DEX,6+,Normal,Legend,,,,,
1545,Koala - Cherry Lips,INT,5,Limited RR,Rare Recruit,,,,,
1568,Boa Hancock - Princess's Glance,QCK,5,Limited RR,Rare Recruit,,,,,
1569,Trafalgar Law - Straw Hat-Heart Pirate Alliance,INT,4,Rayleigh Shop,Rare Recruit,,,,,
1571,Dogstorm: King of the Day,STR,6,Normal,Legend,,,,,
1573,Wanda: Kingsbird,QCK,5,Normal,Rare Recruit,,,,,
1575,Full-Power Shishilian,INT,5,Normal,Rare Recruit,,,,,
1577,Foxfire Kin'emon - Wano Country Samurai,DEX,5,Normal,Rare Recruit,,,,,
1579,Momonosuke - Wano Country Child,PSY,5,Normal,Rare Recruit,,,,,
1588,"Sanji - Prince, Kingdom of Germa",INT,6,Normal,Legend,,,,,
1590,Red-Haired Shanks - Celebrate the Long Cruise,QCK,5,Limited RR,Rare Recruit,,,,,
1592,Empress Boa Hancock - Celebrate the Long Cruise,INT,5,Limited RR,Rare Recruit,,,,,
1593,Monkey D. Luffy - Gear Four: Bounceman,PSY,6+,Normal,Legend,,,,,
1610,Kami Eneru - Battles of the Great Era of Piracy: Endless Varse,QCK,6,Normal,Legend,,,,,
1612,Bartholomew Kuma - Battles of the Great Era of Piracy: A Crew Annihilated,PSY,5,Normal,Rare Recruit,,,,,
1614,Rob Lucci - Battles of the Great Era of Piracy: Dark Justice,DEX,5,Normal,Rare Recruit,,,,,
1616,Mr. 0 - Battles of the Great Era of Piracy: Utopia,INT,5,Normal,Rare Recruit,,,,,
1618,Gecko Moria - Battles of the Great Era of Piracy: Strongest Underlings,STR,5,Normal,Rare Recruit,,,,,
1619,The Dark King Silvers Rayleigh - Pirate King's Right-Hand Man,INT,6+,Normal,Legend,,,,,
1621,Eustass Kid - A Vow in the Great Age of Pirates: Pirate King,STR,5,Limited RR,Rare Recruit,,,,,
1632,Fisher Tiger - Sun Pirates Captain,PSY,5,Limited RR,Rare Recruit,,,,,
1652,Cat Viper: King of the Night,PSY,6,Normal,Legend,,,,,
1654,Treetop Pedro,INT,5,Normal,Rare Recruit,,,,,
1656,Carrot: Kingsbird,QCK,5,Normal,Rare Recruit,,,,,
1658,Evening Shower Kanjuro - Wano Kingdom Samurai,DEX,5,Normal,Rare Recruit,,,,,
1660,Raizo of the Mist,STR,5,Normal,Rare Recruit,,,,,
1662,Corazon - Disappearing Raindrops,QCK,5,Rayleigh Shop,Rare Recruit,,,,,
1663,"Rob Lucci ""Life Return"" - CP9's Strongest",STR,6+,Normal,Legend,,,,,
1665,"Aokiji - ""Duel"" Victor",STR,5,Limited RR,Rare Recruit,,,,,
1674,Perona - Princess of the Bold Swimsuit,QCK,5,Limited RR,Rare Recruit,,,,,
1676,Roronoa Zoro - Swordsman in the Rain,PSY,5,Rayleigh Shop,Rare Recruit,,,,,
1678,Trafalgar Law - A Vow in the Great Age of Pirates: Freedom,INT,5,Limited RR,Rare Recruit,,,,,
1682,Monkey D. Luffy - 20th Anniversary Memorial Treasure,STR,5,Normal,Rare Recruit,,,,,
1684,Nico Robin - 20th Anniversary Memorial Treasure,QCK,5,Normal,Rare Recruit,,,,,
1686,Usopp - 20th Anniversary Memorial Treasure,INT,5,Normal,Rare Recruit,,,,,
1688,Franky - 20th Anniversary Memorial Treasure,DEX,5,Normal,Rare Recruit,,,,,
1698,Magellan - Hell's Ruler,DEX,6,Normal,Legend,,,,,
1700,Jinbe - Warlord in Hell,PSY,5,Normal,Rare Recruit,,,,,
1702,Emporio Ivankov - Revolutionary in Hell,QCK,5,Normal,Rare Recruit,,,,,
1704,Hannyabal - Ruler's Right-Hand Man (For Now),INT,5,Normal,Rare Recruit,,,,,
1706,Mr. 2 Bon Clay - A Friend in Hell,STR,5,Normal,Rare Recruit,,,,,
1707,Red-Haired Shanks - Emperor,PSY,6+,Normal,Legend,,,,,
1713,Akainu - Paramount War Hellfire,DEX,5,Limited RR,Rare Recruit,,,,,
1721,Big Boss Jinbe - Neptune's Army Soldier: Ryugu Kingdom,QCK,5,Limited RR,Rare Recruit,,,,,
1731,Nefeltari Vivi - Transparent Charm,INT,5,Limited RR,Rare Recruit,,,,,
1741,Boa Sandersonia - Straw Hat Luffy's Conspirator,DEX,5,Normal,Rare Recruit,,,,,
1743,Boa Marigold - Straw Hat Luffy's Conspirator,STR,5,Normal,Rare Recruit,,,,,
1745,Marguerite - Straw Hat Luffy's Conspirator,INT,5,Normal,Rare Recruit,,,,,
1747,Boa Hancock - Straw Hat Luffy's Conspirator,PSY,6,Normal,Legend,,,,,
1749,Bepo - Straw Hat Luffy's Conspirator,QCK,5,Normal,Rare Recruit,,,,,
1751,"""Warlord of the Sea"" Trafalgar Law - Joker-Tracking Heart",QCK,6,Normal,Legend,,,,,
1753,Roronoa Zoro - 20th Anniversary Memorial Treasure,INT,5,Normal,Rare Recruit,,,,,
1755,Sanji - 20th Anniversary Memorial Treasure,PSY,5,Normal,Rare Recruit,,,,,
1757,Nami - 20th Anniversary Memorial Treasure,STR,5,Normal,Rare Recruit,,,,,
1759,Brook - 20th Anniversary Memorial Treasure,QCK,5,Normal,Rare Recruit,,,,,
1761,Tony Tony Chopper - 20th Anniversary Memorial Treasure,DEX,5,Normal,Rare Recruit,,,,,
1763,Lucci: Beastman - World Government Monster,QCK,6,Normal,Legend,,,,,
1764,Kuzan - Ex-Naval HQ Top Force,QCK,6+,Normal,Legend,,,,,
1770,Ben Beckman - Red-Hair Emperor's Right-Hand Man,INT,5,Limited RR,Rare Recruit,,,,,
1778,Kizaru - Sojourner from the Sacred Land,QCK,5,Limited RR,Rare Recruit,,,,,
1794,Lucy - Victor of the Corrida Coliseum,STR,6,Normal,Legend,,,,,
1796,Diamante - Dressrosa King's Family,QCK,5,Normal,Rare Recruit,,,,,
1798,Jesus Burgess - Assassin in the Birdcage,DEX,5,Normal,Rare Recruit,,,,,
1800,Cavendish - Rebel in the Birdcage,DEX,5,Normal,Rare Recruit,,,,,
1802,Bartolomeo - Rebel in the Birdcage,QCK,5,Normal,Rare Recruit,,,,,
1804,Roronoa Zoro - East Blue Master Swordsman,DEX,5,Treasure Map,Rare Recruit,,,,,
1806,Captain Buggy - Unbeatable Chop-Chop Man,QCK,5,Treasure Map,Rare Recruit,,,,,
1816,Portgas D. Ace - Darkness-Slaying Sun,DEX,6+,Normal,Legend,,,,,
1822,Sanji - Prince with Stage Outfit,STR,5,Rayleigh Shop,Rare Recruit,,,,,
