Check,ID,Name,Type,Rarity
[ ],44,Dancing Django,DEX,3
[ ],45,Captain Kuro,QCK,3
[ ],46,Kuro of a Hundred Plans,QCK,4
[ ],47,Yosaku,STR,2
[ ],48,Johnny,QCK,2
[ ],49,Iron Fist Fullbody,STR,2
[ ],50,Patty,STR,2
[ ],51,Carne,QCK,2
[ ],52,Chef Zeff,DEX,3
[ ],53,Gin,QCK,2
[ ],54,Gin the Man-Demon,QCK,3
[ ],55,Pearl,STR,2
[ ],56,Fire Pearl,STR,3
[ ],57,Don Krieg,INT,3
[ ],58,Don Krieg - Poison Gas Bomb MH5,INT,4
[ ],59,Nezumi,INT,2
[ ],60,Momoo,STR,3
[ ],61,Choo,INT,3
[ ],62,Kuroobi,STR,3
[ ],63,Hatchan,DEX,3
[ ],64,Six-Sword Hachi,DEX,4
[ ],65,Arlong,STR,3
[ ],66,Enraged Arlong - Shark On Tooth,STR,4
[ ],67,Tashigi,QCK,3
[ ],68,Tashigi - Navy HQ Ensign,QCK,4
[ ],69,Smoker,DEX,3
[ ],70,Smoker the White Hunter,DEX,4
[ ],71,Miss Wednesday,PSY,3
[ ],72,Nefeltari Vivi,PSY,4
[ ],73,Princess Vivi,PSY,5
[ ],74,Portgas D. Ace,QCK,4
[ ],75,Portgas D. Ace - Flame Mirror,QCK,5
[ ],76,Shanks,PSY,4
[ ],77,Red-Haired Shanks,PSY,5
[ ],78,Red Robber Penguin,STR,1
[ ],79,Blue Robber Penguin,QCK,1
[ ],80,Green Robber Penguin,DEX,1
[ ],81,Yellow Robber Penguin,PSY,1
[ ],82,Black Robber Penguin,INT,1
[ ],83,Rainbow Robber Penguin,INT,3
[ ],84,Red Pirate Penguin,STR,2
[ ],85,Blue Pirate Penguin,QCK,2
[ ],86,Green Pirate Penguin,DEX,2
[ ],87,Yellow Pirate Penguin,PSY,2
[ ],88,Black Pirate Penguin,INT,2
[ ],89,Red Hermit Crab,STR,1
[ ],90,Blue Hermit Crab,QCK,1
[ ],91,Green Hermit Crab,DEX,1
[ ],92,Yellow Hermit Crab,PSY,1
[ ],93,Black Hermit Crab,INT,1
[ ],94,Rainbow Hermit Crab,INT,2
[ ],95,Red Armored Crab,STR,2
[ ],96,Blue Armored Crab,QCK,2
[ ],97,Green Armored Crab,DEX,2
[ ],98,Yellow Armored Crab,PSY,2
[ ],99,Black Armored Crab,INT,2
[ ],100,Red Striped Dragon,STR,3
[ ],101,Blue Striped Dragon,QCK,3
[ ],102,Green Striped Dragon,DEX,3
[ ],103,Yellow Striped Dragon,PSY,3
[ ],104,Black Striped Dragon,INT,3
[ ],105,Red Treasure Turtle,STR,3
[ ],106,Blue Treasure Turtle,QCK,3
[ ],107,Green Treasure Turtle,DEX,3
[ ],108,Yellow Treasure Turtle,PSY,3
[ ],109,Black Treasure Turtle,INT,3
[ ],110,Red Daimyo Turtle,STR,4
[ ],111,Blue Daimyo Turtle,QCK,4
[ ],112,Green Daimyo Turtle,DEX,4
[ ],113,Yellow Daimyo Turtle,PSY,4
[ ],114,Black Daimyo Turtle,INT,4
[ ],115,Sea Pony,PSY,1
[ ],116,Sea Colt,PSY,2
[ ],117,Sea Horse,PSY,3
[ ],118,Sea Stallion,PSY,4
[ ],119,Sword Bandit,DEX,1
[ ],120,Pistol Bandit,STR,1
[ ],121,Fighter Group Cabin Boy - Red Pirates,STR,1
[ ],122,Fighter Group Cabin Boy - Blue Pirates,QCK,1
[ ],123,Fighter Group Cabin Boy - Green Pirates,DEX,1
[ ],124,Fighter Group Cabin Boy - Yellow Pirates,PSY,1
[ ],125,Fighter Group Cabin Boy - Black Pirates,INT,1
[ ],126,Slasher Group Cabin Boy - Red Pirates,STR,1
[ ],127,Slasher Group Cabin Boy - Blue Pirates,QCK,1
[ ],128,Slasher Group Cabin Boy - Green Pirates,DEX,1
[ ],129,Slasher Group Cabin Boy - Yellow Pirates,PSY,1
[ ],130,Slasher Group Cabin Boy - Black Pirates,INT,1
[ ],131,Striker Group Cabin Boy - Red Pirates,STR,1
[ ],132,Striker Group Cabin Boy - Blue Pirates,QCK,1
[ ],133,Striker Group Cabin Boy - Green Pirates,DEX,1
[ ],134,Striker Group Cabin Boy - Yellow Pirates,PSY,1
[ ],135,Striker Group Cabin Boy - Black Pirates,INT,1
[ ],136,Shooter Group Cabin Boy - Red Pirates,STR,1
[ ],137,Shooter Group Cabin Boy - Blue Pirates,QCK,1
[ ],138,Shooter Group Cabin Boy - Green Pirates,DEX,1
[ ],139,Shooter Group Cabin Boy - Yellow Pirates,PSY,1
[ ],140,Shooter Group Cabin Boy - Black Pirates,INT,1
[ ],141,Cannoneer Cabin Boy,INT,1
[ ],142,Fighter Group Crew - Red Pirates,STR,2
[ ],143,Fighter Group Crew - Blue Pirates,QCK,2
[ ],144,Fighter Group Crew - Green Pirates,DEX,2
[ ],145,Fighter Group Crew - Yellow Pirates,PSY,2
[ ],146,Fighter Group Crew - Black Pirates,INT,2
[ ],147,Slasher Group Crew - Red Pirates,STR,2
[ ],148,Slasher Group Crew - Blue Pirates,QCK,2
[ ],149,Slasher Group Crew - Green Pirates,DEX,2
[ ],150,Slasher Group Crew - Yellow Pirates,PSY,2
[ ],151,Slasher Group Crew - Black Pirates,INT,2
[ ],152,Striker Group Crew - Red Pirates,STR,2
[ ],153,Striker Group Crew - Blue Pirates,QCK,2
[ ],154,Striker Group Crew - Green Pirates,DEX,2
[ ],155,Striker Group Crew - Yellow Pirates,PSY,2
[ ],156,Striker Group Crew - Black Pirates,INT,2
[ ],157,Shooter Group Crew - Red Pirates,STR,2
[ ],158,Shooter Group Crew - Blue Pirates,QCK,2
[ ],159,Shooter Group Crew - Green Pirates,DEX,2
[ ],160,Shooter Group Crew - Yellow Pirates,PSY,2
[ ],161,Shooter Group Crew - Black Pirates,INT,2
[ ],162,Cannoneer Skilled,INT,2
[ ],163,"Bodyguard, 'Sunglasses'",DEX,1
[ ],164,Bearded Bodyguard,QCK,1
[ ],165,Knuckle Punk - Black Cat Pirates,STR,2
[ ],166,Saber Punk - Black Cat Pirates,DEX,2
[ ],167,Halberd Punk - Black Cat Pirates,QCK,2
[ ],168,Pistol Punk - Black Cat Pirates,PSY,2
[ ],169,Cannoneer Punk - Black Cat Pirates,INT,2
[ ],170,Fighter Group Leader,STR,3
[ ],171,Slasher Group Leader,DEX,3
[ ],172,Striker Group Leader,QCK,3
[ ],173,Shooter Group Leader,PSY,3
[ ],174,Assassin Master,INT,3
[ ],175,Karate Fishman - Arlong crewmember,STR,2
[ ],176,Sword Fishman - Arlong crewmember,DEX,2
[ ],177,Spear Fishman - Arlong crewmember,QCK,2
[ ],178,Pistol Fishman - Arlong crewmember,PSY,2
[ ],179,Knuckle Apprentice - Navy,STR,1
[ ],180,Saber Apprentice - Navy,DEX,1
[ ],181,Halberd Apprentice - Navy,QCK,1
[ ],182,Pistol Apprentice - Navy,PSY,1
[ ],183,Cannoneer Apprentice - Navy,INT,1
[ ],184,Knuckle Seaman - Navy,STR,2
[ ],185,Saber Seaman - Navy,DEX,2
[ ],186,Halberd Seaman - Navy,QCK,2
[ ],187,Pistol Seaman - Navy,PSY,2
[ ],188,Cannoneer Seaman - Navy,INT,2
[ ],189,Red Elder Turtle,STR,5
[ ],190,Blue Elder Turtle,QCK,5
[ ],191,Green Elder Turtle,DEX,5
[ ],192,Yellow Elder Turtle,PSY,5
[ ],193,Black Elder Turtle,INT,5
[ ],194,Knuckle Ensign - Navy HQ,STR,3
[ ],195,Saber Ensign - Navy HQ,DEX,3
[ ],196,Halberd Ensign - Navy HQ,QCK,3
[ ],197,Pistol Ensign - Navy HQ,PSY,3
[ ],198,Bazooka Ensign - Navy HQ,INT,3
[ ],199,Mr. 5 - Nez-Palm Cannon,STR,3
[ ],200,Mr. 5 - Breeze Breath Bomb,STR,4
[ ],201,Miss Valentine,QCK,3
[ ],202,"Miss Valentine - 10,000 Kill-O-Guillotine",QCK,4
[ ],203,Mr. 3,INT,3
[ ],204,Mr. 3 - Extra Special Candelabra,INT,4
[ ],205,Miss Goldenweek,DEX,3
[ ],206,Miss Goldenweek - Colors Trap: Calming Green,DEX,4
[ ],207,Mr. 2 Bon Clay,PSY,3
[ ],208,Mr. 2 Bon Clay - Bombardier Arabesque,PSY,4
[ ],209,Miss All Sunday - Baroque Works VP,INT,4
[ ],210,Nico Robin,INT,5
[ ],211,Mr. 9,QCK,2
[ ],212,Mr. 9 - Hot Blooded Bat,QCK,3
[ ],213,Laboon,STR,3
[ ],214,Laboon - (Luffy's drawing),STR,4
[ ],215,Neptunian Squid,DEX,3
[ ],216,Monkey D. Luffy - Gum-Gum Balloon,STR,4
[ ],217,Monkey D. Luffy - Gear Third,STR,5
[ ],218,Roronoa Zoro - Streaming Wolf Swords,DEX,4
[ ],219,Roronoa Zoro - Lion's Song,DEX,5
[ ],220,Nami - Fine Tempo,INT,4
[ ],221,Nami - Happiness Punch,INT,5
[ ],222,Usopp - Usopp Hammer,PSY,3
[ ],223,Usopp - Impact,PSY,4
[ ],224,Mr. Prince - Mutton Shot,QCK,3
[ ],225,Mr. Prince - Veau Shot,QCK,4
[ ],226,Dracule Mihawk,DEX,4
[ ],227,Hawk Eyes Mihawk,DEX,5
[ ],228,Escapee Morgan,STR,3
[ ],229,Double Crosser Django,PSY,3
[ ],230,Double Ironfist Fullbody,STR,3
[ ],231,Hina,QCK,3
[ ],232,Black Cage Hina,QCK,4
[ ],233,Mr. 8,PSY,2
[ ],234,Mr. 8 - Igarappapa,PSY,3
[ ],235,Miss Monday,STR,2
[ ],236,Miss Monday - Superhuman Brass Knuckles,STR,3
[ ],237,Knuckle Millions - Baroque Works,STR,2
[ ],238,Saber Millions - Baroque Works,DEX,2
[ ],239,Polearm Millions - Baroque Works,QCK,2
[ ],240,Pistol Millions - Baroque Works,PSY,2
[ ],241,Bazooka Millions - Baroque Works,INT,2
[ ],242,Knuckle Billions - Baroque Works,STR,3
[ ],243,Saber Billions - Baroque Works,DEX,3
[ ],244,Halberd Billions - Baroque Works,QCK,3
[ ],245,Pistol Billions - Baroque Works,PSY,3
[ ],246,Bazooka Billions - Baroque Works,INT,3
[ ],247,Chopper Man,PSY,4
[ ],248,Tony Tony Chopper - Pre-Rampage,STR,4
[ ],249,Tony Tony Chopper - Post-Rampage,STR,5
[ ],250,Marco,PSY,4
[ ],251,Marco the Phoenix,PSY,5
[ ],252,Jozu,QCK,4
[ ],253,Diamond Jozu,QCK,5
[ ],254,Vista,INT,4
[ ],255,Flower Sword Vista,INT,5
[ ],256,Izo,DEX,4
[ ],257,Flintlock Pistols Izo,DEX,5
[ ],258,Blamenco,STR,4
[ ],259,Blamenco the Mallet,STR,5
[ ],260,Edward Newgate,STR,5
[ ],261,Whitebeard,STR,6
[ ],262,Training Coby,PSY,3
[ ],263,Petty Officer Coby,PSY,4
[ ],264,Training Helmeppo,INT,3
[ ],265,Sergeant Helmeppo,INT,4
[ ],266,Rainbow Pirate Penguin,INT,4
[ ],267,Rainbow Striped Dragon,INT,4
[ ],268,White Chase Smoker,DEX,5
[ ],269,Armed Fighter Unit - Red Pirates,STR,3
[ ],270,Armed Fighter Unit - Blue Pirates,QCK,3
[ ],271,Armed Fighter Unit - Green Pirates,DEX,3
[ ],272,Armed Fighter Unit - Yellow Pirates,PSY,3
[ ],273,Armed Fighter Unit - Black Pirates,INT,3
[ ],274,Armed Slasher Unit - Red Pirates,STR,3
[ ],275,Armed Slasher Unit - Blue Pirates,QCK,3
[ ],276,Armed Slasher Unit - Green Pirates,DEX,3
[ ],277,Armed Slasher Unit - Yellow Pirates,PSY,3
[ ],278,Armed Slasher Unit - Black Pirates,INT,3
[ ],279,Armed Striker Unit - Red Pirates,STR,3
[ ],280,Armed Striker Unit - Blue Pirates,QCK,3
[ ],281,Armed Striker Unit - Green Pirates,DEX,3
[ ],282,Armed Striker Unit - Yellow Pirates,PSY,3
[ ],283,Armed Striker Unit - Black Pirates,INT,3
[ ],284,Armed Shooter Unit - Red Pirates,STR,3
[ ],285,Armed Shooter Unit - Blue Pirates,QCK,3
[ ],286,Armed Shooter Unit - Green Pirates,DEX,3
[ ],287,Armed Shooter Unit - Yellow Pirates,PSY,3
[ ],288,Armed Shooter Unit - Black Pirates,INT,3
[ ],289,Skilled Gunner,INT,3
[ ],290,Mr. 13 & Ms. Friday - The Unluckies,INT,3
[ ],291,Dorry,PSY,4
[ ],292,Broggy,INT,4
[ ],293,Triceratops,QCK,2
[ ],294,Rex,STR,2
[ ],295,Brontosaurus,DEX,2
[ ],296,Tsuru,INT,3
[ ],297,Great Advisor Tsuru,INT,4
[ ],298,Momonga,PSY,3
[ ],299,Onigumo,DEX,3
[ ],300,Red Plated Lobster,STR,3
[ ],301,Blue Plated Lobster,QCK,3
[ ],302,Green Plated Lobster,DEX,3
[ ],303,Yellow Plated Lobster,PSY,3
[ ],304,Black Plated Lobster,INT,3
[ ],305,Monkey D. Garp,PSY,4
[ ],306,Garp the Fist,PSY,5
[ ],307,Trafalgar Law,DEX,4
[ ],308,Trafalgar Law - ROOM,DEX,5
[ ],309,Basil Hawkins,INT,4
[ ],310,Basil Hawkins the Magician,INT,5
[ ],311,Killer,QCK,4
[ ],312,Massacre Soldier Killer,QCK,5
[ ],313,Urouge,PSY,4
[ ],314,Mad Monk Urouge,PSY,5
[ ],315,Bepo,STR,4
[ ],316,Bepo the Martial Artist,STR,5
[ ],317,Kalifa,DEX,3
[ ],318,Beautiful Secretary Kalifa,DEX,4
[ ],319,Paulie,DEX,3
[ ],320,Paulie - Dock One Foreman/Mast Specialist,DEX,4
[ ],321,Rob Lucci,QCK,3
[ ],322,"Rob Lucci - Dock One Sawyer, Treenail Specialist",QCK,4
[ ],323,Kaku,QCK,3
[ ],324,Kaku - Dock One Carpentry Specialist,QCK,4
[ ],325,Lulu,QCK,3
[ ],326,Wapol,STR,3
[ ],327,Wapol House,STR,4
[ ],328,Dalton,QCK,3
[ ],329,Dalton - Bison,QCK,4
[ ],330,Chess,DEX,3
[ ],331,Kuromarimo,DEX,3
[ ],332,Chessmarimo,DEX,4
[ ],333,Dr. Kureha,PSY,3
[ ],334,Lapin,INT,2
[ ],335,Lapin - Adult,INT,3
[ ],336,Franky,PSY,3
[ ],337,Dismantler Franky,PSY,4
[ ],338,Kiwi,PSY,3
[ ],339,Mozu,PSY,3
[ ],340,Kraken - Surume,STR,3
[ ],341,Kraken - Monster of the North,STR,4
[ ],342,Red Jeweled Porc,STR,2
[ ],343,Blue Jeweled Porc,QCK,2
[ ],344,Green Jeweled Porc,DEX,2
[ ],345,Yellow Jeweled Porc,PSY,2
[ ],346,Black Jeweled Porc,INT,2
[ ],347,Ruby Jeweled Porc,STR,3
[ ],348,Sapphire Jeweled Porc,QCK,3
[ ],349,Emerald Jeweled Porc,DEX,3
[ ],350,Topaz Jeweled Porc,PSY,3
[ ],351,Amethyst Jeweled Porc,INT,3
[ ],352,Zephyr,INT,4
[ ],353,Zephyr - Neo Marines Leader,INT,5
[ ],354,Ain,QCK,3
[ ],355,Ain - Neo Marines Vice Admiral,QCK,4
[ ],356,Eustass Kid,STR,4
[ ],357,Captain Kid,STR,5
[ ],358,Scratchmen Apoo,DEX,4
[ ],359,Roar of the Sea Scratchmen Apoo,DEX,5
[ ],360,X Drake,INT,4
[ ],361,Red Flag X Drake,INT,5
[ ],362,Jewelry Bonney,PSY,4
[ ],363,Big Eater Jewelry Bonney,PSY,5
[ ],364,Capone Bege,QCK,4
[ ],365,Capone Gang Bege,QCK,5
[ ],366,Silvers Rayleigh,INT,5
[ ],367,Dark King Rayleigh,INT,6
[ ],368,Giant Slasher - Red Pirates,STR,2
[ ],369,Giant Shooter - Blue Pirates,QCK,2
[ ],370,Female Giant Warrior - Green Pirates,DEX,2
[ ],371,Giant Fighter - Yellow Pirates,PSY,2
[ ],372,Giant Striker - Black Pirates,INT,2
[ ],373,Giant Imperial Slasher - Red Pirates,STR,3
[ ],374,Giant Imperial Shooter - Blue Pirates,QCK,3
[ ],375,Female Giant Imperial Warrior - Green Pirates,DEX,3
[ ],376,Giant Imperial Fighter - Yellow Pirates,PSY,3
[ ],377,Giant Imperial Striker - Black Pirates,INT,3
[ ],378,Sea Cat,PSY,3
[ ],379,Kung Fu Dugong,STR,3
[ ],380,Kung Fu Dugong - Faithful Apprentice,STR,4
[ ],381,Banana Gator,QCK,3
[ ],382,Sandora Dragon,DEX,3
[ ],383,Mr. 0 - Baroque Works CEO,INT,3
[ ],384,Sir Crocodile,INT,4
[ ],385,Hogback,INT,3
[ ],386,Doctor Hogback,INT,4
[ ],387,Cindry,PSY,3
[ ],388,Victoria Cindry,PSY,4
[ ],389,Emporio Ivankov,QCK,4
[ ],390,Emporio Ivankov - Queen of Kamabakka Queendom (Retired),QCK,5
[ ],391,Perona,DEX,3
[ ],392,Ghost Princess Perona,DEX,4
[ ],393,Kumacy,STR,3
[ ],394,Inuppe,QCK,3
[ ],395,Miss Merry Christmas,QCK,3
[ ],396,Miss Merry Christmas - Human Mole,QCK,4
[ ],397,Mr. 4,STR,3
[ ],398,Mr. 4 and Lassoo the Dog-Gun,STR,4
[ ],399,Miss Doublefinger,DEX,3
[ ],400,Miss Doublefinger - Human Spike,DEX,4
[ ],401,Mr. 1,STR,3
[ ],402,Mr. 1 - Human Sword,STR,4
[ ],403,Rebecca,QCK,4
[ ],404,Absalom,STR,3
[ ],405,Absalom of the Graveyard,STR,4
[ ],406,General Zombie,INT,3
[ ],407,Jigoro of the Wind,DEX,3
[ ],408,Sir Crocodile - Warlord of the Sea,INT,5
[ ],409,Jinbe,QCK,4
[ ],410,Jinbe - Warlord of the Sea,QCK,5
[ ],411,Bartholomew Kuma,STR,4
[ ],412,Bartholomew Kuma - Warlord of the Sea,STR,5
[ ],413,Gecko Moria,INT,4
[ ],414,Gecko Moria - Warlord of the Sea,INT,5
[ ],415,Boa Hancock,QCK,5
[ ],416,Boa Hancock - Warlord of the Sea,QCK,6
[ ],417,Donquixote Doflamingo,DEX,4
[ ],418,Donquixote Doflamingo - Warlord of the Sea,DEX,5
[ ],419,Sanji - Parage Shot: The Storm,QCK,4
[ ],420,Monkey D. Luffy - Gum-Gum Bazooka: Supremacy,STR,4
[ ],421,Roronoa Zoro - Three Thousand Worlds: The Final Stroke,DEX,4
[ ],422,Nami - Mirage Tempo: The Heavens,INT,4
[ ],423,Brook,QCK,3
[ ],424,Humming Swordsman Brook,QCK,4
[ ],425,Ryuma,PSY,4
[ ],426,Masira,STR,3
[ ],427,Shoujou,DEX,3
[ ],428,Montblanc Cricket,PSY,3
[ ],429,South Bird and Forest Residents,DEX,3
[ ],430,Bellamy,DEX,3
[ ],431,Bellamy the Hyena,DEX,4
[ ],432,Sarquiss,QCK,3
[ ],433,Elizabeth,DEX,4
[ ],434,Caroline,INT,4
[ ],435,Sanji - Kamabakka Queendom Traditional Fighting Style,QCK,3
[ ],436,Sanji - Candy,QCK,4
[ ],437,Perona ~Sweets~,DEX,4
[ ],438,Perona ~Sweets~ - Ghost Princess,DEX,5
[ ],439,Nefeltari Vivi ~Love~,PSY,4
[ ],440,Princess Vivi ~Love~,PSY,5
[ ],441,Cowboy and Bourbon Jr. - Supersonic Duck Squadron,QCK,3
[ ],442,Stomp and Ivan X - Supersonic Duck Squadron,DEX,3
[ ],443,Centaur and Hikoichi - Supersonic Duck Squadron,STR,3
[ ],444,Karoo,PSY,3
[ ],445,Captain Karoo and the Supersonic Duck Squadron,PSY,4
[ ],446,Marshall D. Teach,STR,4
[ ],447,Blackbeard,STR,5
[ ],448,Thatch,QCK,4
[ ],449,Twin-Blade Thatch,QCK,5
[ ],450,Namule,DEX,4
[ ],451,One-Hit Namule,DEX,5
[ ],452,Rakuyo,PSY,4
[ ],453,Morning Star Rakuyo,PSY,5
[ ],454,Fossa,STR,4
[ ],455,Fossa the Blazing Katana,STR,5
[ ],456,Curiel,INT,4
[ ],457,Heavy Artillery Curiel,INT,5
[ ],458,Sengoku,PSY,5
[ ],459,Sengoku the Buddha,PSY,6
[ ],460,Galdino the Criminal - Mr. 3,PSY,3
[ ],461,Escapee Bentham - Mr. 2 Bon Clay,DEX,3
[ ],462,Master Escape Artist Bentham - Mr. 2 Bon Clay,DEX,4
[ ],463,Satori,PSY,4
[ ],464,Shura,INT,4
[ ],465,Gedatsu,QCK,4
[ ],466,Braham,DEX,3
[ ],467,Yama,STR,3
[ ],468,Yellow White Beret - Skypiea Guard,PSY,2
[ ],469,Black White Beret - Skypiea Guard,INT,2
[ ],470,Yellow White Beret Captain - Skypiea Guard,PSY,3
[ ],471,Black White Beret Captain - Skypiea Guard,INT,3
[ ],472,Eneru's Elect: Red Guard - Skypiea Enforcer,STR,2
[ ],473,Eneru's Elect: Blue Guard - Skypiea Enforcer,QCK,2
[ ],474,Eneru's Elect: Green Guard - Slypiea Enforcer,DEX,2
[ ],475,Eneru's Elect: Yellow Guard - Skypiea Enforcer,PSY,2
[ ],476,Eneru's Elect: Black Guard - Skypiea Enforcer,INT,2
[ ],477,Red Striker - Skypiea Enforcer,STR,2
[ ],478,Blue Striker - Skypiea Enforcer,QCK,2
[ ],479,Green Striker - Slypiea Enforcer,DEX,2
[ ],480,Yellow Striker - Skypiea Enforcer,PSY,2
[ ],481,Black Striker - Skypiea Enforcer,INT,2
[ ],482,Red Striker Elite - Skypiea Enforcer,STR,3
[ ],483,Blue Striker Elite - Skypiea Enforcer,QCK,3
[ ],484,Green Striker Elite - Skypiea Enforcer,DEX,3
[ ],485,Yellow Striker Elite - Skypiea Enforcer,PSY,3
[ ],486,Black Striker Elite - Skypiea Enforcer,INT,3
[ ],487,Red Nomad - Shandian Warrior,STR,2
[ ],488,Blue Nomad - Shandian Warrior,QCK,2
[ ],489,Green Nomad - Shandian Warrior,DEX,2
[ ],490,Red Nomad Adept - Shandian Warrior,STR,3
[ ],491,Blue Nomad Adept - Shandian Warrior,QCK,3
[ ],492,Green Nomad Adept - Shandian Warrior,DEX,3
[ ],493,Yellow Hunter - Shandian Warrior,PSY,2
[ ],494,Black Hunter - Shandian Warrior,INT,2
[ ],495,Yellow Hunter Adept - Shandian Warrior,PSY,3
[ ],496,Black Hunter Adept - Shandian Warrior,INT,3
[ ],497,Portgas D. Ace - Mt. Corvo's Brothers 3,QCK,4
[ ],498,"Portgas D. Ace - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",QCK,5
[ ],499,Bellmere,DEX,3
[ ],500,Bellmere - Nami and Nojiko's  Mother,DEX,4
[ ],501,Kaya,PSY,3
[ ],502,Kaya - A rich young girl from Syrup Village,PSY,4
[ ],503,Hotori and Kotori,INT,3
[ ],504,Hotori and Kotori - Skypiea Vice Head Enforcers,INT,4
[ ],505,Pell,QCK,3
[ ],506,Pell - The guardian falcon of Alabasta.,QCK,4
[ ],507,Chaka,STR,3
[ ],508,Chaka - The guardian jackal of Alabasta.,STR,4
[ ],509,"Sir Crocodile, the Strongest Prisoner - Mr. 0, Ex-Baroque Works Leader",QCK,3
[ ],510,"Sir Crocodile, the Strongest Prisoner - Ex-Seven Warlords Member",QCK,4
[ ],511,"Daz Bonez, Convict - Mr. 1",INT,4
[ ],512,Sabo - Mt. Corvo's Brothers 3,PSY,4
[ ],513,"Sabo - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",PSY,5
[ ],514,Nico Robin - Tropical,INT,4
[ ],515,Heracles-un,PSY,4
[ ],516,Heracles-un - Hero of the Forest,PSY,5
[ ],517,Usopp-un,PSY,4
[ ],518,Usopp-un - Hercules’ Student,PSY,5
[ ],519,Free Global Slot,,
[ ],520,Free Global Slot,,
[ ],521,Free Global Slot,,
[ ],522,Free Global Slot,,
[ ],523,Free Global Slot,,
[ ],524,Free Global Slot,,
[ ],525,Free Global Slot,,
[ ],526,Free Global Slot,,
[ ],527,Free Global Slot,,
[ ],528,Free Global Slot,,
[ ],529,Shanks - Black Clad Redhead,PSY,5
[ ],530,Shanks - Black Clad Emperor,PSY,6
[ ],531,Nico Robin - Cherry Blossoms Falling,DEX,4
[ ],532,Nico Robin - Cherry Blossoms in Full Bloom,DEX,5
[ ],533,Brook - Cherry Blossom Hair,QCK,4
[ ],534,Brook - Cherry Blossom Melody,QCK,5
[ ],535,Nami - Blossom Cloud,DEX,4
[ ],536,Nami - Blossom Climate,DEX,5
[ ],537,Domino,PSY,3
[ ],538,Domino - Impel Down Vice Head Jailer,PSY,4
[ ],539,Minorhinoceros,STR,3
[ ],540,Basilisk,DEX,3
[ ],541,Ohm,STR,4
[ ],542,Nola - Giant Snake,PSY,3
[ ],543,Wyper,DEX,3
[ ],544,Wyper - Descendant of Great Warrior Calgara,DEX,4
[ ],545,Eneru,PSY,3
[ ],546,Kami Eneru,PSY,4
[ ],547,Monkey D. Luffy - Mt. Corvo's Brothers 3,STR,4
[ ],548,"Monkey D. Luffy - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",STR,5
[ ],549,Sadie,INT,3
[ ],550,Sadie - Impel Down Chief Jailer,INT,4
[ ],551,Minokoala,STR,3
[ ],552,Manticore,QCK,3
[ ],553,Free Global Slot,,
[ ],554,Free Global Slot,,
[ ],555,Free Global Slot,,
[ ],556,Free Global Slot,,
[ ],557,Free Global Slot,,
[ ],558,Free Global Slot,,
[ ],559,Free Global Slot,,
[ ],560,Free Global Slot,,
[ ],561,Portgas D. Ace - Black Clad Flame Fist,DEX,5
[ ],562,Portgas D. Ace - Black Clad Division Commander,DEX,6
[ ],563,Porche,PSY,3
[ ],564,Capote,QCK,3
[ ],565,Hamburg,DEX,3
[ ],566,Pickles,QCK,3
[ ],567,Big Bun,STR,3
[ ],568,Foxy,INT,3
